"Story","Title","Result","Date","Stability","Duration (s)"
"Calculator test","Add test2","FAILURE","2017-08-23T18:20:43.258+05:30","0.0","0.0"
"Calculator test","Add test4","SUCCESS","2017-08-23T18:20:43.261+05:30","0.0","0.0"
"Calculator test","Addition test 1","SUCCESS","2017-08-23T18:20:43.263+05:30","0.0","0.0"
"Calculator test","Division test","SUCCESS","2017-08-23T18:20:43.257+05:30","0.0","0.0"
"Calculator test","Division test1","SUCCESS","2017-08-23T18:20:43.270+05:30","0.0","0.0"
"Calculator test","Division test2","FAILURE","2017-08-23T18:20:43.271+05:30","0.0","0.0"
"Calculator test","Division test4","FAILURE","2017-08-23T18:20:43.274+05:30","0.0","0.0"
"Calculator test","Multiply test","PENDING","2017-08-23T18:20:43.276+05:30","0.0","0.0"
"Calculator test","Multiply test1","SUCCESS","2017-08-23T18:20:43.265+05:30","0.0","0.0"
"Calculator test","Multiply test2","SUCCESS","2017-08-23T18:20:43.266+05:30","0.0","0.0"
"Calculator test","Multiply test4","FAILURE","2017-08-23T18:20:43.268+05:30","0.0","0.0"
"Calculator test","Sub test","FAILURE","2017-08-23T18:20:43.254+05:30","0.0","0.0"
"Calculator test","Sub test1","IGNORED","2017-08-23T18:20:43.121+05:30","0.0","0.0"
"Calculator test","Sub test2","FAILURE","2017-08-23T18:20:43.184+05:30","0.0","0.01"
"Calculator test","Sub test4","SUCCESS","2017-08-23T18:20:43.246+05:30","0.0","0.01"
